bookID,title,authors,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
16313,A Caribbean Mystery,Agatha Christie/Rosalind Ayres,eng,0,49,10,10-09-06,Audiogo
37573,They Do It With Mirrors,Agatha Christie/Rosemary Leach,eng,7,2,0,11-08-02,MacMillan Audio
22861,Your and My Secret  Vol. 1,Ai Morinaga,eng,174,406,31,07-06-04,ADV Manga
4337,The Zanzibar Chest,Aidan Hartley,en-US,496,2218,172,08-03-04,Riverhead Books
33153,A Tempest,Aimé Césaire/Richard Miller,eng,69,1422,76,05-01-02,Theatre Communications Group
23576,The Truth with Jokes,Al Franken,eng,386,7469,201,10-01-06,Plume Books
23582,You're Good Enough  You're Smart Enough  & Doggone It  People Like You!,Al Franken,en-US,0,18,0,10-01-92,Random House Audio Publishing Group
23584,I'm Good Enough  I'm Smart Enough  & Doggone It  People Like Me!,Al Franken/Melody Beattie/Stuart Smalley,en-US,352,359,35,10-01-92,Dell
33451,Horse Sense: How to Pull Ahead on the Business Track,Al Ries/Jack Trout,eng,240,40,5,03-01-92,Plume
23426,On Love,Alain de Botton,eng,194,11297,853,01-06-06,Grove Press
23425,Status Anxiety,Alain de Botton,eng,306,7957,535,05-10-05,Vintage
23418,The Architecture of Happiness,Alain de Botton,eng,280,7101,540,10-03-06,Pantheon Books
23423,The Consolations of Philosophy,Alain de Botton,eng,272,763,70,03-01-01,Penguin
23419,The Consolations of Philosophy,Alain de Botton,en-US,265,13499,812,04-03-01,Vintage
35558,The Beatles Illustrated Lyrics,Alan Aldridge/The Beatles,eng,272,1360,34,05-01-05,Black Dog & Leventhal Publishers
3273,Moloka'i (Moloka'i #1),Alan Brennert,eng,405,91395,8192,10-04-04,St. Martin's Griffin
34909,The Dragon Doesn't Live Here Anymore: Living Fully  Loving Freely,Alan Cohen,eng,416,179,16,08-03-93,Ballantine Books
35180,Alien Nation,Alan Dean Foster,eng,217,227,10,07-01-88,Warner Books
35159,Chorus Skating (Spellsinger  #8),Alan Dean Foster,en-US,344,477,8,10-01-94,Aspect
35178,Interlopers,Alan Dean Foster,eng,313,269,23,05-01-01,Ace
35124,Mid-Flinx (Pip & Flinx #7),Alan Dean Foster,en-US,352,2327,36,09-01-96,Del Rey Books
35134,Nor Crystal Tears (Humanx Commonwealth  #9),Alan Dean Foster,eng,231,2278,29,02-01-94,Severn House Publishers
35183,Phylogenesis (Founding of the Commonwealth  #1),Alan Dean Foster,eng,304,1246,21,07-05-00,Del Rey Books
35165,Star Trek: Logs 7-10,Alan Dean Foster,eng,788,21,0,06-01-95,Pocket Books
35163,Star Trek: Logs Five and Six (Star Trek: Log  #5-6),Alan Dean Foster,eng,388,35,0,09-05-06,Del Rey Books
35120,Star Trek: Logs One and Two (Star Trek: Log  #1-2),Alan Dean Foster,eng,370,58,4,09-05-06,Del Rey Books
35116,Star Trek: Logs Seven and Eight (Star Trek: Log  #7-8),Alan Dean Foster,eng,358,35,0,09-05-06,Del Rey Books
35149,Star Wars: The Approaching Storm,Alan Dean Foster,eng,344,3947,100,12-01-02,Del Rey Books
23398,The Dig,Alan Dean Foster,eng,336,2,0,01-01-98,Severn House Publishers
35138,The Hour of the Gate (Spellsinger  #2),Alan Dean Foster,eng,304,30,0,01-01-05,iBooks
35128,With Friends Like These...,Alan Dean Foster,eng,236,2277,28,11-12-77,Del Rey
35148,Betcha Can't Read Just One,Alan Dean Foster/George Alec Effinger/Jack McDevitt/Nina Kiriki Hoffman/Mike Resnick/R.A. Lafferty/Tobias Grace/Laura Resnick/Margaret Ball/Ron Goulart/Mel Gilden/Edward Wellen/Wolfgang Jeschke/Greg Costikyan/Esther M. Friesner/Steve Rasnic Tem,eng,242,51,1,12-01-93,Ace
35166,The Hand of Dinotopia,Alan Dean Foster/James Gurney,eng,416,292,13,12-01-02,Avon Books
31868,Logic and Philosophy: A Modern Introduction,Alan Hausman/Paul Tidman,eng,525,9,0,06-01-06,Cengage Learning
30104,The Spell,Alan Hollinghurst,eng,272,1559,103,05-01-00,Penguin Books
14376,Einstein's Dreams,Alan Lightman,eng,144,25551,2576,11-09-04,Vintage
5805,V for Vendetta,Alan Moore/David   Lloyd,eng,296,234954,4058,11-01-05,Vertigo
5214,Cry  the Beloved Country,Alan Paton,eng,316,3140,383,11-01-03,Scribner
12488,Cry  the Beloved Country,Alan Paton,eng,240,767,85,08-01-02,Vintage Classics
15691,Caligula and Three Other Plays,Albert Camus,fre,0,17,3,05-01-66,Knopf
41307,La chute,Albert Camus,fre,152,87,6,01-11-99,Gallimard
27769,L'Étranger,Albert Camus,fre,207,688,50,03-01-05,Editions Gallimard
15688,L'Étranger,Albert Camus,fre,184,13454,765,03-02-00,Gallimard
27780,Noces,Albert Camus,fre,101,184,20,04-07-93,Gallimard
15690,Outsider,Albert Camus,eng,110,21,2,01-01-83,University Press of America
11990,The Rebel,Albert Camus/Anthony Bower/Herbert Read,eng,320,9227,256,01-01-92,Vintage
27779,Le Premier homme,Albert Camus/Catherine Camus,fre,384,293,18,02-11-00,Gallimard
15683,Lyrical and Critical Essays,Albert Camus/Ellen Conroy Kennedy/Philip Thody,eng,365,817,52,09-12-70,Vintage
11991,The Fall,Albert Camus/Justin O'Brien,eng,147,53697,1772,05-07-91,Vintage
15692,The Possessed,Albert Camus/Justin O'Brien,eng,190,325,22,03-12-64,Vintage
15704,Notebooks  1935-1951,Albert Camus/Philip Thody/Justin O'Brien,eng,496,553,12,09-01-98,Marlowe & Company
15698,Caligula,Albert Camus/Pierre-Louis Rey/P. Morgan/E.T. Jones,fre,224,6059,210,09-01-93,Gallimard
15708,The Plague,Albert Camus/Robin Buss,eng,238,975,80,12-05-02,Penguin
17116,The Stranger,Albert Camus/Stuart Gilbert,en-US,154,1493,184,09-12-54,Vintage
22239,For the Sins of My Father: A Mafia Killer  His Son  and the Legacy of a Mob Life,Albert Demeo/Mary Jane Ross,eng,288,966,108,09-09-03,Broadway Books
15855,Relativity: The Special and the General Theory: The Masterpiece Science Edition,Albert Einstein/Roger Penrose/Robert Geroch/David C. Cassidy,en-US,288,24,2,04-01-05,Pi Press
22677,Feeling Better  Getting Better  Staying Better: Profound Self-Help Therapy for Your Emotions,Albert Ellis,eng,272,51,6,06-01-01,Impact
22460,Red Herrings and White Elephants: The Origins of the Phrases We Use Every Day,Albert Jack/Ann Page,en-US,272,71,5,11-01-05,Harper
23870,Spandau: The Secret Diaries,Albert Speer,eng,463,6,2,02-05-76,Macmillan Publ. Co.
3055,Alcoholics Anonymous,Alcoholics Anonymous,en-US,576,495,30,02-10-02,AA World Services
3053,Alcoholics Anonymous,Alcoholics Anonymous,eng,250,22,0,08-01-93,Alcoholics Anonymous World Services Inc
5136,After Many a Summer Dies the Swan,Aldous Huxley,en-US,368,2056,149,01-01-93,Ivan R. Dee Publisher
5129,Brave New World,Aldous Huxley,eng,288,1247221,20014,09-01-98,HarperPerennial / Perennial Classics
5481,Brave New World Revisited,Aldous Huxley,eng,123,12989,740,09-05-06,Harper Perennial Modern Classics
39889,Grey Eminence,Aldous Huxley,en-US,320,196,14,04-07-05,Vintage Classics
5135,Point Counter Point,Aldous Huxley,eng,432,9522,210,10-01-96,Dalkey Archive Press
5128,The Doors of Perception & Heaven and Hell,Aldous Huxley,eng,187,30012,797,05-04-04,Harper Perennial Modern Classics
5479,Brave New World / Brave New World Revisited,Aldous Huxley/Christopher Hitchens,eng,340,129179,1047,07-05-05,Harper Perennial Modern Classics
5480,Brave New World and Brave New World Revisited,Aldous Huxley/Christopher Hitchens,eng,340,421,53,06-01-04,HarperCollins
5132,Huxley and God: Essays on Religious Experience,Aldous Huxley/Huston Smith/Jacqueline Hazard Bridgeman,eng,320,98,4,03-01-03,The Crossroad Publishing Company
5134,Moksha: Writings on Psychedelics & the Visionary Experience,Aldous Huxley/Michael Horowitz/Cynthia Palmer,eng,304,404,15,04-01-99,Park Street Press
30569,Complete Essays 4  1936-38,Aldous Huxley/Robert S. Baker/James Sexton,en-US,416,7,2,11-05-01,Ivan R. Dee
14551,The Perfume Factory,Alex Austin,eng,227,9,2,12-12-18,Kindle
39124,The covert war against rock: what you don't know about the deaths of Jim Morrison  Tupac Shakur  Michael Hutchence  Brian Jones  Jimi Hendrix  Phil Ochs  Bob Marley  Peter Tosh  John Lennon  The Notorious B.I.G,Alex Constantine,eng,280,85,8,05-01-00,Feral House
41918,There are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,eng,323,12092,837,01-05-92,Anchor Books
23524,Mythology: The DC Comics Art of Alex Ross,Alex Ross/Geoff Spear/Chip Kidd,eng,320,1994,37,11-08-05,Pantheon
7054,Ein Gentleman für Mma Ramotswe (No. 1 Ladies' Detective Agency  #2),Alexander McCall Smith,ger,238,11,3,02-01-02,Nymphenburger
7055,Ein Koch für Mma Ramotswe (No. 1 Ladies' Detective Agency  #3),Alexander McCall Smith,ger,240,2,2,02-01-03,Nymphenburger
7035,Morality for Beautiful Girls (No. 1 Ladies' Detective Agency #3),Alexander McCall Smith,eng,227,33028,1493,11-12-02,Random House Anchor
15900,Tears of the Giraffe (No. 1 Ladies' Detective Agency  #2),Alexander McCall Smith,eng,256,29,9,09-03-02,Turtleback
7061,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Alexander McCall Smith,eng,235,208669,9489,02-06-03,Anchor Books
15904,The Sunday Philosophy Club (Isabel Dalhousie  #1),Alexander McCall Smith,eng,272,16314,1764,07-12-05,Anchor
7037,In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6),Alexander McCall Smith/Lisette Lecat,eng,10,133,23,03-02-05,Recorded Books  Inc.
16199,Citas Celestiales,Alexander McCall Smith/Marta Torent López de Lamadrid,spa,190,1,0,11-01-06,Umbriel
15786,Sideways: The Shooting Script,Alexander Payne/Jim     Taylor,eng,192,101,3,12-08-04,Newmarket Press
44866,Poetry and Prose of Alexander Pope (Riverside Editions),Alexander Pope/Aubrey Williams,eng,512,93,5,01-02-68,Houghton Mifflin Company
44865,The Major Works,Alexander Pope/Pat Rogers,eng,768,213,8,11-06-06,Oxford University Press
27829,Eugene Onegin: A Novel in Verse,Alexander Pushkin/Douglas R. Hofstadter,eng,224,44,7,09-11-00,Basic Books
27831,Eugene Onegin,Alexander Pushkin/Tom Beck,eng,262,10,5,03-01-06,Dedalus
9155,Boys or Ballet? (Royal Ballet School Diaries  #8),Alexandra Moss,eng,144,93,8,08-03-06,Grosset & Dunlap
9151,Isabelle's Perfect Performance (The Royal Ballet School Diaries  #3),Alexandra Moss,eng,144,130,4,05-05-05,Grosset & Dunlap
38547,Mosquito Bite,Alexandra Siy/Dennis Kunkel,eng,32,72,19,02-01-06,Charlesbridge
7127,The Count of Monte Cristo,Alexandre Dumas/Brantley Johnson/Margaret Brantley,eng,620,193,26,05-01-04,Simon  Schuster
10563,The Three Musketeers (The d'Artagnan Romances. #1),Alexandre Dumas/Keith Wren,eng,592,820,92,05-05-01,Wordsworth Editions
7131,The Count of Monte Cristo,Alexandre Dumas/Lorenzo Carcaterra,eng,1462,9921,586,06-11-02,Modern Library
25777,Democracy in America Volume 2,Alexis de Tocqueville/Eduardo Brandão/Phillips Bradley/Luann Walther,eng,506,316,19,08-11-90,Vintage
16621,Democracy in America,Alexis de Tocqueville/Harvey Mansfield/Delba Winthrop,eng,722,390,40,04-01-02,University of Chicago Press
29993,The Visible Hand: The Managerial Revolution in American Business,Alfred D. Chandler Jr.,en-US,624,222,26,01-01-77,Belknap Press
15073,Portraits of Murder: 47 Short Stories Chosen by the Master of Suspense,Alfred Hitchcock/Don Tothe,en-US,512,81,7,08-01-05,Galahad Books
18758,The Last Night of Ballyhoo,Alfred Uhry,en-US,96,259,16,10-01-97,Theatre Communications Group
22602,Carly's Sound,Ali Vali,eng,212,454,11,06-01-06,Bold Strokes Books
4888,The Drama of the Gifted Child: The Search for the True Self,Alice   Miller,en-US,118,97,10,06-01-83,Basic Books
29561,The Truth Will Set You Free: Overcoming Emotional Blindness and Finding Your True Adult Self,Alice   Miller/Andrew Edwin Jenkins,eng,224,501,32,12-10-02,Basic Books
33614,The Fourth of July Story,Alice Dalgliesh/Marie Nonnast,eng,32,261,19,06-01-95,Aladdin
5159,Here on Earth,Alice Hoffman,eng,336,43028,1472,07-01-99,Berkley
22893,Incantation,Alice Hoffman,eng,166,5653,800,10-01-06,Little  Brown Books for Young Readers
22896,Practical Magic (Practical Magic #1),Alice Hoffman,eng,286,54261,4232,08-05-03,Penguin
22889,Skylight Confessions,Alice Hoffman,eng,264,6754,744,01-01-07,Little Brown and Company
22892,The Foretelling,Alice Hoffman,eng,182,2646,247,09-01-06,Little  Brown Books for Young Readers
22898,The Probable Future,Alice Hoffman,eng,352,11910,965,06-01-04,Ballantine Books
40806,Turtle Moon,Alice Hoffman,eng,275,7545,388,04-04-02,Vintage
12793,The Collaborator: The Trial and Execution of Robert Brasillach,Alice Kaplan,eng,308,77,14,11-01-01,University of Chicago Press
39906,Cocolat: Extraordinary Chocolate Desserts,Alice Medrich/Patricia Brabant,eng,192,80,10,10-01-90,Grand Central Publishing
14286,Open Secrets,Alice Munro,eng,304,4038,297,11-07-95,Vintage
14281,Selected Stories,Alice Munro,eng,688,5749,285,11-11-97,Vintage
14283,Something I've Been Meaning to Tell You: 13 Stories,Alice Munro,eng,246,2386,178,10-12-04,Vintage
31659,The Progress of Love,Alice Munro,eng,320,2128,115,12-12-00,Vintage
9815,The View from Castle Rock,Alice Munro,eng,349,3459,423,11-07-06,Alfred A. Knopf
14284,The Beggar Maid: Stories of Flo and Rose,Alice Munro/Susanna Basso,eng,210,2814,258,05-07-91,Vintage
18412,The Wind Done Gone,Alice Randall,eng,224,1698,283,04-08-02,Mariner Books
538,The Lovely Bones,Alice Sebold,en-US,532,367,73,04-01-04,Large Print Press
537,The Lovely Bones,Alice Sebold,en-GB,328,6485,966,06-01-03,Picador
27092,Desde mi cielo,Alice Sebold/Aurora Echevarría,spa,336,28,3,10-12-04,Debolsillo
40969,Absolute Trust in the Goodness of the Earth: New Poems,Alice Walker,en-US,229,583,70,03-09-04,Random House Trade Paperbacks
11486,The Color Purple,Alice Walker,eng,295,445206,9643,04-01-04,Pocket
37424,Little Big Book for God's Children,Alice Wong/Lena Tabori,en-US,352,8,0,09-01-01,Welcome Books
45325,Joseph Cornell: Secrets in a Box (Adventures in Art),Alison Baverstock/Joseph Cornell/Christopher Wynne,eng,27,32,5,09-01-03,Prestel Publishing
38990,Fun Home: A Family Tragicomic,Alison Bechdel,eng,240,48966,3928,06-08-06,Houghton Mifflin Company
10080,Mary Queen of Scots and the Murder of Lord Darnley,Alison Weir,eng,640,4947,119,02-05-04,Pimlico
10106,The Children of Henry VIII,Alison Weir,eng,385,11134,418,07-08-97,Ballantine Books
18242,A Savage War of Peace: Algeria  1954-1962,Alistair Horne,eng,608,1895,178,10-10-06,New York Review of Books
14271,Island: Collected Stories,Alistair MacLeod,eng,448,837,102,09-05-02,Vintage
18591,Hamlet (Oxford Bookworms Library: Stage 2),Alistair McCallum/William Shakespeare,eng,54,164,6,10-01-05,Oxford University Press  USA
23009,The Christian Theology Reader,Alister E. McGrath,eng,744,244,11,09-01-06,Blackwell Publishers
33876,On the Road to Tara,Aljean Harmetz,eng,224,29,2,09-01-96,Harry N. Abrams
12080,Wittgenstein's Vienna,Allan Janik/Stephen Toulmin,eng,315,285,26,09-01-96,Ivan R. Dee Publisher
41903,Das Zauberer-Handbuch - Die Magische Welt der Joanne K. Rowling von A bis Z,Allan Zola Kronzek,ger,304,39,1,11-01-01,Goldmann
6298,Howl: Original Draft Facsimile  Transcript & Variant Versions  Fully Annotated by Author  with Contemporaneous Correspondence,Allen Ginsberg/Barry Miles,eng,208,180,28,10-10-06,Harper Perennial Modern Classics
6295,Howl and Other Poems,Allen Ginsberg/William Carlos Williams,eng,56,85143,1284,01-01-01,City Lights
39046,I Don't Know How She Does It (Kate Reddy  #1),Allison Pearson,eng,368,214,25,05-01-03,Vintage
5027,I Love Saturdays y domingos,Alma Flor Ada/Elivia Savadier,en-US,32,34,10,09-01-04,Atheneum Books for Young Readers
35835,Dear Peter Rabbit,Alma Flor Ada/Leslie Tryon,en-US,32,7,0,01-01-06,Aladdin Paperbacks
29694,Raising the Bar: Ministry to Youth in the New Millennium,Alvin L. Reid,en-US,208,42,3,04-07-04,Kregel Academic & Professional
10310,The Argumentative Indian: Writings on Indian History  Culture and Identity,Amartya Sen,eng,432,6550,337,09-05-06,Picador
30335,Demon in My View,Amelia Atwater-Rhodes,eng,192,10944,390,09-11-01,Laurel Leaf
30331,In the Forests of the Night,Amelia Atwater-Rhodes,eng,147,13452,508,02-02-00,Laurel Leaf Library
30337,Midnight Predator,Amelia Atwater-Rhodes,eng,256,8039,177,12-09-03,Laurel Leaf Library
30336,Shattered Mirror,Amelia Atwater-Rhodes,eng,240,9408,254,07-08-03,Laurel Leaf
6302,The Best of America's Test Kitchen 2007: The Year's Best Recipes  Equipment Reviews  and Tastings,America's Test Kitchen,eng,312,193,7,09-01-06,America's Test Kitchen
4950,The Hungry Tide,Amitav Ghosh,eng,333,11838,815,06-07-06,Mariner Books
27574,A Tale of Love and Darkness,Amos Oz/Nicholas de Lange,eng,560,5325,520,11-01-05,Harvest / Harcourt
35499,Side Effects,Amy Goldman Koss,eng,144,904,179,10-03-06,Roaring Brook Press
39872,Encyclopedia of an Ordinary Life,Amy Krouse Rosenthal,eng,240,5067,897,12-06-05,Broadway Books
38528,Cookies: Bite-Size Life Lessons,Amy Krouse Rosenthal/Jane Dyer,eng,40,1162,185,05-02-06,HarperCollins
33174,Cliffs Notes on Hugo's Les Miserables,Amy L. Marsland,en-GB,120,21,4,11-01-68,Cliffs Notes
12555,The Bonesetter's Daughter,Amy Tan,eng,387,108440,2689,02-04-03,Ballantine Books
35959,The Bonesetter's Daughter,Amy Tan,eng,352,437,49,10-01-04,Harper Perennial
35963,The Opposite of Fate,Amy Tan,eng,398,172,11,07-01-04,Harper Perennial
35958,Sagwa  the Chinese Siamese Cat,Amy Tan/Gretchen Schields,eng,40,995,57,09-01-01,Aladdin Paperbacks
